forwardEulerRC      deltaT = 1.000000 ns
Time           V1             V2             
42.2           0.25631        0.11835        
42.4           0.26819        0.11886        
42.6           0.27961        0.11957        
42.8           0.29061        0.12047        
43.0           0.30119        0.12155        
43.2           0.31138        0.12279        
43.4           0.32120        0.12418        
43.6           0.33066        0.12570        
43.8           0.33978        0.12734        
44.0           0.34857        0.12910        
44.2           0.35706        0.13095        
44.4           0.36525        0.13290        
44.6           0.37316        0.13493        
44.8           0.38080        0.13703        
45.0           0.38818        0.13920        
45.2           0.39532        0.14142        
45.4           0.40222        0.14369        
45.6           0.40889        0.14601        
45.8           0.41535        0.14837        
46.0           0.42160        0.15075        
46.2           0.42765        0.15317        
46.4           0.43352        0.15560        
46.6           0.43920        0.15806        
46.8           0.44471        0.16053        
47.0           0.45005        0.16300        
47.2           0.45522        0.16549        
47.4           0.46025        0.16797        
47.6           0.46513        0.17046        
47.8           0.46986        0.17294        
48.0           0.47446        0.17542        
48.2           0.47892        0.17788        
48.4           0.48326        0.18034        
48.6           0.48748        0.18279        
48.8           0.49157        0.18522        
49.0           0.49556        0.18763        
49.2           0.49944        0.19003        
49.4           0.50321        0.19241        
49.6           0.50688        0.19476        
49.8           0.51045        0.19710        
50.0           0.51393        0.19941        
50.2           0.51534        0.20169        
50.4           0.51282        0.20387        
50.6           0.50652        0.20587        
50.8           0.49658        0.20764        
51.0           0.48314        0.20910        
51.2           0.46831        0.21023        
51.4           0.45408        0.21103        
51.6           0.44041        0.21152        
51.8           0.42729        0.21173        
52.0           0.41469        0.21168        
52.2           0.40258        0.21139        
52.4           0.39093        0.21088        
52.6           0.37973        0.21016        
52.8           0.36895        0.20926        
53.0           0.35858        0.20818        
53.2           0.34859        0.20695        
53.4           0.33896        0.20558        
53.6           0.32969        0.20407        
53.8           0.32075        0.20244        
54.0           0.31212        0.20071        
54.2           0.30380        0.19887        
54.4           0.29577        0.19695        
54.6           0.28801        0.19495        
54.8           0.28052        0.19288        
55.0           0.27328        0.19074        
55.2           0.26628        0.18855        
55.4           0.25952        0.18631        
55.6           0.25297        0.18403        
55.8           0.24664        0.18171        
56.0           0.24051        0.17936        
56.2           0.23457        0.17698        
56.4           0.22882        0.17459        
56.6           0.22325        0.17217        
56.8           0.21784        0.16974        
57.0           0.21261        0.16731        
57.2           0.20752        0.16486        
57.4           0.20260        0.16242        
57.6           0.19781        0.15998        
57.8           0.19317        0.15754        
58.0           0.18866        0.15510        
58.2           0.18428        0.15267        
58.4           0.18002        0.15026        
58.6           0.17588        0.14786        
58.8           0.17186        0.14547        
59.0           0.16795        0.14309        
59.2           0.16415        0.14074        
59.4           0.16045        0.13840        
59.6           0.15685        0.13608        
59.8           0.15334        0.13379        
60.0           0.14993        0.13151        
60.2           0.14858        0.12928        
60.4           0.15116        0.12714        
60.6           0.15753        0.12518        
60.8           0.16752        0.12345        
61.0           0.18102        0.12202        
61.2           0.19591        0.12093        
61.4           0.21019        0.12017        
61.6           0.22391        0.11972        
61.8           0.23708        0.11954        
62.0           0.24973        0.11963        
62.2           0.26189        0.11996        
62.4           0.27359        0.12050        
62.6           0.28483        0.12125        
62.8           0.29566        0.12219        
63.0           0.30607        0.12330        
63.2           0.31611        0.12457        
63.4           0.32577        0.12597        
63.6           0.33509        0.12751        
63.8           0.34407        0.12917        
64.0           0.35274        0.13094        
64.2           0.36110        0.13280        
64.4           0.36917        0.13476        
64.6           0.37696        0.13679        
64.8           0.38448        0.13889        
65.0           0.39176        0.14105        
65.2           0.39879        0.14327        
65.4           0.40559        0.14554        
65.6           0.41217        0.14785        
65.8           0.41853        0.15020        
66.0           0.42470        0.15257        
66.2           0.43066        0.15498        
66.4           0.43644        0.15740        
66.6           0.44205        0.15984        
66.8           0.44748        0.16229        
67.0           0.45274        0.16476        
67.2           0.45785        0.16722        
67.4           0.46281        0.16969        
67.6           0.46761        0.17216        
67.8           0.47228        0.17462        
68.0           0.47682        0.17708        
68.2           0.48122        0.17953        
68.4           0.48550        0.18197        
68.6           0.48966        0.18439        
68.8           0.49371        0.18680        
69.0           0.49764        0.18919        
69.2           0.50147        0.19157        
69.4           0.50519        0.19393        
69.6           0.50881        0.19626        
69.8           0.51233        0.19858        
70.0           0.51577        0.20087        
70.2           0.51713        0.20313        
70.4           0.51457        0.20528        
70.6           0.50823        0.20726        
70.8           0.49825        0.20901        
71.0           0.48477        0.21045        
71.2           0.46990        0.21156        
71.4           0.45563        0.21233        
71.6           0.44194        0.21280        
71.8           0.42878        0.21299        
72.0           0.41615        0.21292        
72.2           0.40400        0.21261        
72.4           0.39232        0.21208        
72.6           0.38109        0.21134        
72.8           0.37028        0.21042        
73.0           0.35988        0.20933        
73.2           0.34986        0.20807        
73.4           0.34021        0.20668        
73.6           0.33090        0.20515        
73.8           0.32193        0.20351        
74.0           0.31328        0.20175        
74.2           0.30494        0.19990        
74.4           0.29688        0.19796        
74.6           0.28910        0.19594        
74.8           0.28159        0.19385        
75.0           0.27432        0.19170        
75.2           0.26730        0.18949        
75.4           0.26052        0.18724        
75.6           0.25395        0.18494        
75.8           0.24759        0.18260        
76.0           0.24144        0.18023        
76.2           0.23549        0.17784        
76.4           0.22972        0.17543        
76.6           0.22412        0.17300        
76.8           0.21870        0.17055        
77.0           0.21345        0.16810        
77.2           0.20835        0.16564        
77.4           0.20340        0.16319        
77.6           0.19860        0.16073        
77.8           0.19394        0.15827        
78.0           0.18942        0.15582        
78.2           0.18502        0.15338        
78.4           0.18075        0.15095        
78.6           0.17660        0.14854        
78.8           0.17256        0.14614        
79.0           0.16864        0.14375        
79.2           0.16482        0.14138        
79.4           0.16110        0.13903        
79.6           0.15749        0.13670        
79.8           0.15397        0.13440        
80.0           0.15055        0.13211        
80.2           0.14919        0.12986        
80.4           0.15176        0.12771        
80.6           0.15810        0.12574        
80.8           0.16809        0.12400        
81.0           0.18157        0.12256        
81.2           0.19645        0.12146        
81.4           0.21073        0.12069        
81.6           0.22443        0.12023        
81.8           0.23759        0.12005        
82.0           0.25023        0.12012        
82.2           0.26238        0.12044        
82.4           0.27407        0.12098        
82.6           0.28530        0.12172        
82.8           0.29612        0.12265        
83.0           0.30653        0.12375        
83.2           0.31655        0.12500        
83.4           0.32621        0.12640        
83.6           0.33552        0.12793        
83.8           0.34449        0.12959        
84.0           0.35315        0.13134        
84.2           0.36150        0.13320        
84.4           0.36956        0.13514        
84.6           0.37734        0.13717        
84.8           0.38486        0.13926        
85.0           0.39213        0.14142        
85.2           0.39915        0.14363        
85.4           0.40594        0.14589        
85.6           0.41252        0.14820        
85.8           0.41887        0.15054        
86.0           0.42503        0.15291        
86.2           0.43099        0.15530        
86.4           0.43677        0.15772        
86.6           0.44236        0.16015        
86.8           0.44779        0.16260        
87.0           0.45304        0.16506        
87.2           0.45815        0.16752        
87.4           0.46310        0.16998        
87.6           0.46790        0.17244        
87.8           0.47256        0.17490        
88.0           0.47709        0.17735        
88.2           0.48149        0.17979        
88.4           0.48577        0.18223        
88.6           0.48992        0.18465        
88.8           0.49396        0.18705        
89.0           0.49789        0.18944        
89.2           0.50171        0.19181        
89.4           0.50542        0.19416        
89.6           0.50904        0.19649        
89.8           0.51256        0.19880        
90.0           0.51599        0.20109        
90.2           0.51735        0.20334        
90.4           0.51479        0.20549        
90.6           0.50844        0.20747        
90.8           0.49846        0.20921        
91.0           0.48498        0.21065        
91.2           0.47010        0.21175        
91.4           0.45583        0.21253        
91.6           0.44213        0.21299        
91.8           0.42897        0.21318        
92.0           0.41633        0.21311        
92.2           0.40418        0.21279        
92.4           0.39250        0.21226        
92.6           0.38126        0.21152        
92.8           0.37045        0.21059        
93.0           0.36004        0.20949        
93.2           0.35002        0.20824        
93.4           0.34036        0.20684        
93.6           0.33106        0.20531        
93.8           0.32209        0.20366        
94.0           0.31343        0.20190        
94.2           0.30508        0.20005        
94.4           0.29702        0.19811        
94.6           0.28924        0.19608        
94.8           0.28172        0.19399        
95.0           0.27446        0.19184        
95.2           0.26744        0.18962        
95.4           0.26065        0.18737        
95.6           0.25408        0.18506        
95.8           0.24772        0.18273        
96.0           0.24157        0.18036        
96.2           0.23561        0.17796        
96.4           0.22983        0.17554        
96.6           0.22424        0.17311        
96.8           0.21882        0.17067        
97.0           0.21356        0.16821        
97.2           0.20846        0.16575        
97.4           0.20351        0.16329        
97.6           0.19871        0.16083        
97.8           0.19404        0.15837        
98.0           0.18952        0.15592        
98.2           0.18512        0.15348        
98.4           0.18084        0.15105        
98.6           0.17669        0.14863        
98.8           0.17265        0.14623        
99.0           0.16873        0.14384        
99.2           0.16491        0.14147        
99.4           0.16119        0.13912        
99.6           0.15758        0.13679        
99.8           0.15406        0.13448        
100.0          0.15063        0.13219        

RK34_RC      deltaT = 1.000000
Time           Step           V1             V2             
0.0            1.00000        0.00000        0.00000        
1.0            0.02752        0.04688        0.00150        

RK34_RC      deltaT = 0.200000
Time           Step           V1             V2             
0.0            0.20000        0.00000        0.00000        
0.2            0.00530        0.00197        0.00001        

forwardEulerEKV      deltaT = 1.000000 ns 
Time           V1             V2             
0.0            0.00000        0.00000        
1.0            0.00000        0.50000        
2.0            0.10000        0.95000        
3.0            0.19000        1.35500        
4.0            0.27100        1.71950        
5.0            0.34390        2.04755        
6.0            0.40951        2.34279        
7.0            0.46856        2.60852        
8.0            0.52170        2.84766        
9.0            0.56953        3.06290        
10.0           0.61258        3.25661        
11.0           0.65132        3.43095        
12.0           0.58619        3.58785        
13.0           0.52757        3.72907        
14.0           0.47481        3.85616        
15.0           0.42733        3.97054        
16.0           0.38460        4.07349        
17.0           0.34614        4.16614        
18.0           0.31153        4.24953        
19.0           0.28037        4.32457        
20.0           0.25234        4.39212        
21.0           0.22710        4.45290        
22.0           0.30439        4.50761        
23.0           0.37395        4.55685        
24.0           0.43656        4.60117        
25.0           0.49290        4.64105        
26.0           0.54361        4.67695        
27.0           0.58925        4.70925        
28.0           0.63033        4.73833        
29.0           0.66729        4.76449        
30.0           0.70056        4.78804        
31.0           0.73051        4.80924        
32.0           0.66746        4.82831        
33.0           0.60071        4.84548        
34.0           0.54064        4.86093        
35.0           0.48658        4.87484        
36.0           0.43792        4.88735        
37.0           0.39413        4.89862        
38.0           0.35471        4.90876        
39.0           0.31924        4.91788        
40.0           0.28732        4.92609        
41.0           0.25859        4.93348        
42.0           0.33273        4.94014        
43.0           0.39945        4.94612        
44.0           0.45951        4.95151        
45.0           0.51356        4.95636        
46.0           0.56220        4.96072        
47.0           0.60598        4.96465        
48.0           0.64538        4.96819        
49.0           0.68085        4.97137        
50.0           0.71276        4.97423        
51.0           0.74149        4.97680        
52.0           0.66734        4.97912        
53.0           0.60060        4.98121        
54.0           0.54054        4.98309        
55.0           0.48649        4.98478        
56.0           0.43784        4.98630        
57.0           0.39406        4.98767        
58.0           0.35465        4.98890        
59.0           0.31918        4.99001        
60.0           0.28727        4.99101        
61.0           0.25854        4.99191        
62.0           0.33269        4.99272        
63.0           0.39942        4.99345        
64.0           0.45948        4.99410        
65.0           0.51353        4.99469        
66.0           0.56218        4.99522        
67.0           0.60596        4.99570        
68.0           0.64536        4.99613        
69.0           0.68083        4.99652        
70.0           0.71274        4.99686        
71.0           0.74147        4.99718        
72.0           0.66732        4.99745        
73.0           0.60059        4.99771        
74.0           0.54053        4.99794        
75.0           0.48648        4.99814        
76.0           0.43783        4.99833        
77.0           0.39405        4.99850        
78.0           0.35464        4.99865        
79.0           0.31918        4.99878        
80.0           0.28726        4.99890        
81.0           0.25853        4.99901        
82.0           0.32268        4.99911        
83.0           0.39041        4.99920        
84.0           0.45137        4.99928        
85.0           0.50623        4.99935        
86.0           0.55561        4.99942        
87.0           0.60005        4.99948        
88.0           0.64004        4.99953        
89.0           0.67604        4.99957        
90.0           0.70844        4.99962        
91.0           0.73759        4.99965        
92.0           0.67383        4.99968        
93.0           0.60645        4.99971        
94.0           0.54581        4.99974        
95.0           0.49122        4.99977        
96.0           0.44210        4.99979        
97.0           0.39789        4.99981        
98.0           0.35810        4.99983        
99.0           0.32229        4.99985        
100.0          0.29006        4.99986        
101.0          0.26106        4.99988        

forwardEulerEKV      deltaT = 0.200000 ns 
Time           V1             V2             
0.0            0.00000        0.00000        
0.2            0.00000        0.10000        
0.4            0.00400        0.19800        
0.6            0.01192        0.29404        
0.8            0.02368        0.38816        
1.0            0.03921        0.48040        
1.2            0.05842        0.57079        
1.4            0.07726        0.65937        
1.6            0.09571        0.74618        
1.8            0.11380        0.83126        
2.0            0.13152        0.91464        
2.2            0.14889        0.99634        
2.4            0.16591        1.07642        
2.6            0.18259        1.15489        
2.8            0.19894        1.23179        
3.0            0.21496        1.30715        
3.2            0.23066        1.38101        
3.4            0.24605        1.45339        
3.6            0.26113        1.52432        
3.8            0.27591        1.59384        
4.0            0.29039        1.66196        
4.2            0.30458        1.72872        
4.4            0.31849        1.79415        
4.6            0.33212        1.85826        
4.8            0.34548        1.92110        
5.0            0.35857        1.98268        
5.2            0.37140        2.04302        
5.4            0.38397        2.10216        
5.6            0.39629        2.16012        
5.8            0.40836        2.21692        
6.0            0.42020        2.27258        
6.2            0.43179        2.32713        
6.4            0.44316        2.38058        
6.6            0.45429        2.43297        
6.8            0.46521        2.48431        
7.0            0.47590        2.53463        
7.2            0.48638        2.58393        
7.4            0.49666        2.63226        
7.6            0.50672        2.67961        
7.8            0.51659        2.72602        
8.0            0.52626        2.77150        
8.2            0.53573        2.81607        
8.4            0.54502        2.85975        
8.6            0.55412        2.90255        
8.8            0.56304        2.94450        
9.0            0.57177        2.98561        
9.2            0.58034        3.02590        
9.4            0.58873        3.06538        
9.6            0.59696        3.10407        
9.8            0.60502        3.14199        
10.0           0.61292        3.17915        
10.2           0.62066        3.21557        
10.4           0.62425        3.25126        
10.6           0.62376        3.28623        
10.8           0.61929        3.32051        
11.0           0.61090        3.35410        
11.2           0.59868        3.38702        
11.4           0.58671        3.41927        
11.6           0.57497        3.45089        
11.8           0.56348        3.48187        
12.0           0.55221        3.51223        
12.2           0.54116        3.54199        
12.4           0.53034        3.57115        
12.6           0.51973        3.59973        
12.8           0.50934        3.62773        
13.0           0.49915        3.65518        
13.2           0.48917        3.68207        
13.4           0.47938        3.70843        
13.6           0.46980        3.73426        
13.8           0.46040        3.75958        
14.0           0.45119        3.78439        
14.2           0.44217        3.80870        
14.4           0.43333        3.83253        
14.6           0.42466        3.85587        
14.8           0.41617        3.87876        
15.0           0.40784        3.90118        
15.2           0.39969        3.92316        
15.4           0.39169        3.94470        
15.6           0.38386        3.96580        
15.8           0.37618        3.98649        
16.0           0.36866        4.00676        
16.2           0.36128        4.02662        
16.4           0.35406        4.04609        
16.6           0.34698        4.06517        
16.8           0.34004        4.08386        
17.0           0.33324        4.10219        
17.2           0.32657        4.12014        
17.4           0.32004        4.13774        
17.6           0.31364        4.15498        
17.8           0.30737        4.17188        
18.0           0.30122        4.18845        
18.2           0.29520        4.20468        
18.4           0.28929        4.22058        
18.6           0.28351        4.23617        
18.8           0.27784        4.25145        
19.0           0.27228        4.26642        
19.2           0.26683        4.28109        
19.4           0.26150        4.29547        
19.6           0.25627        4.30956        
19.8           0.25114        4.32337        
20.0           0.24612        4.33690        
20.2           0.24120        4.35016        
20.4           0.23837        4.36316        
20.6           0.23960        4.37590        
20.8           0.24481        4.38838        
21.0           0.25392        4.40061        
21.2           0.26684        4.41260        
21.4           0.28150        4.42435        
21.6           0.29587        4.43586        
21.8           0.30995        4.44714        
22.0           0.32375        4.45820        
22.2           0.33728        4.46904        
22.4           0.35053        4.47966        
22.6           0.36352        4.49006        
22.8           0.37625        4.50026        
23.0           0.38873        4.51026        
23.2           0.40095        4.52005        
23.4           0.41293        4.52965        
23.6           0.42468        4.53906        
23.8           0.43618        4.54828        
24.0           0.44746        4.55731        
24.2           0.45851        4.56616        
24.4           0.46934        4.57484        
24.6           0.47995        4.58334        
24.8           0.49035        4.59168        
25.0           0.50055        4.59984        
25.2           0.51054        4.60785        
25.4           0.52032        4.61569        
25.6           0.52992        4.62338        
25.8           0.53932        4.63091        
26.0           0.54853        4.63829        
26.2           0.55756        4.64552        
26.4           0.56641        4.65261        
26.6           0.57508        4.65956        
26.8           0.58358        4.66637        
27.0           0.59191        4.67304        
27.2           0.60007        4.67958        
27.4           0.60807        4.68599        
27.6           0.61591        4.69227        
27.8           0.62359        4.69843        
28.0           0.63112        4.70446        
28.2           0.63850        4.71037        
28.4           0.64573        4.71616        
28.6           0.65281        4.72184        
28.8           0.65976        4.72740        
29.0           0.66656        4.73285        
29.2           0.67323        4.73819        
29.4           0.67976        4.74343        
29.6           0.68617        4.74856        
29.8           0.69245        4.75359        
30.0           0.69860        4.75852        
30.2           0.70463        4.76335        
30.4           0.70853        4.76808        
30.6           0.70836        4.77272        
30.8           0.70419        4.77726        
31.0           0.69611        4.78172        
31.2           0.68419        4.78608        
31.4           0.67050        4.79036        
31.6           0.65709        4.79455        
31.8           0.64395        4.79866        
32.0           0.63107        4.80269        
32.2           0.61845        4.80664        
32.4           0.60608        4.81050        
32.6           0.59396        4.81429        
32.8           0.58208        4.81801        
33.0           0.57044        4.82165        
33.2           0.55903        4.82521        
33.4           0.54785        4.82871        
33.6           0.53689        4.83214        
33.8           0.52616        4.83549        
34.0           0.51563        4.83878        
34.2           0.50532        4.84201        
34.4           0.49521        4.84517        
34.6           0.48531        4.84826        
34.8           0.47560        4.85130        
35.0           0.46609        4.85427        
35.2           0.45677        4.85719        
35.4           0.44763        4.86004        
35.6           0.43868        4.86284        
35.8           0.42991        4.86559        
36.0           0.42131        4.86827        
36.2           0.41288        4.87091        
36.4           0.40463        4.87349        
36.6           0.39653        4.87602        
36.8           0.38860        4.87850        
37.0           0.38083        4.88093        
37.2           0.37321        4.88331        
37.4           0.36575        4.88565        
37.6           0.35843        4.88793        
37.8           0.35127        4.89017        
38.0           0.34424        4.89237        
38.2           0.33736        4.89452        
38.4           0.33061        4.89663        
38.6           0.32400        4.89870        
38.8           0.31752        4.90073        
39.0           0.31117        4.90271        
39.2           0.30494        4.90466        
39.4           0.29884        4.90656        
39.6           0.29287        4.90843        
39.8           0.28701        4.91026        
40.0           0.28127        4.91206        
40.2           0.27564        4.91382        
40.4           0.27213        4.91554        
40.6           0.27269        4.91723        
40.8           0.27724        4.91889        
41.0           0.28769        4.92051        
41.2           0.30194        4.92210        
41.4           0.31590        4.92366        
41.6           0.32958        4.92518        
41.8           0.34299        4.92668        
42.0           0.35613        4.92815        
42.2           0.36901        4.92958        
42.4           0.38163        4.93099        
42.6           0.39399        4.93237        
42.8           0.40611        4.93372        
43.0           0.41799        4.93505        
43.2           0.42963        4.93635        
43.4           0.44104        4.93762        
43.6           0.45222        4.93887        
43.8           0.46317        4.94009        
44.0           0.47391        4.94129        
44.2           0.48443        4.94246        
44.4           0.49474        4.94361        
44.6           0.50485        4.94474        
44.8           0.51475        4.94585        
45.0           0.52446        4.94693        
45.2           0.53397        4.94799        
45.4           0.54329        4.94903        
45.6           0.55242        4.95005        
45.8           0.56137        4.95105        
46.0           0.57015        4.95203        
46.2           0.57874        4.95299        
46.4           0.58717        4.95393        
46.6           0.59543        4.95485        
46.8           0.60352        4.95575        
47.0           0.61145        4.95664        
47.2           0.61922        4.95751        
47.4           0.62683        4.95836        
47.6           0.63430        4.95919        
47.8           0.64161        4.96000        
48.0           0.64878        4.96080        
48.2           0.65580        4.96159        
48.4           0.66269        4.96236        
48.6           0.66943        4.96311        
48.8           0.67604        4.96385        
49.0           0.68252        4.96457        
49.2           0.68887        4.96528        
49.4           0.69510        4.96597        
49.6           0.70119        4.96665        
49.8           0.70717        4.96732        
50.0           0.71303        4.96797        
50.2           0.71877        4.96861        
50.4           0.72039        4.96924        
50.6           0.71798        4.96985        
50.8           0.71162        4.97046        
51.0           0.70139        4.97105        
51.2           0.68736        4.97163        
51.4           0.67362        4.97219        
51.6           0.66014        4.97275        
51.8           0.64694        4.97329        
52.0           0.63400        4.97383        
52.2           0.62132        4.97435        
52.4           0.60890        4.97486        
52.6           0.59672        4.97537        
52.8           0.58478        4.97586        
53.0           0.57309        4.97634        
53.2           0.56163        4.97682        
53.4           0.55039        4.97728        
53.6           0.53939        4.97773        
53.8           0.52860        4.97818        
54.0           0.51803        4.97862        
54.2           0.50766        4.97904        
54.4           0.49751        4.97946        
54.6           0.48756        4.97987        
54.8           0.47781        4.98028        
55.0           0.46825        4.98067        
55.2           0.45889        4.98106        
55.4           0.44971        4.98144        
55.6           0.44072        4.98181        
55.8           0.43190        4.98217        
56.0           0.42326        4.98253        
56.2           0.41480        4.98288        
56.4           0.40650        4.98322        
56.6           0.39837        4.98355        
56.8           0.39041        4.98388        
57.0           0.38260        4.98421        
57.2           0.37495        4.98452        
57.4           0.36745        4.98483        
57.6           0.36010        4.98513        
57.8           0.35290        4.98543        
58.0           0.34584        4.98572        
58.2           0.33892        4.98601        
58.4           0.33214        4.98629        
58.6           0.32550        4.98656        
58.8           0.31899        4.98683        
59.0           0.31261        4.98710        
59.2           0.30636        4.98735        
59.4           0.30023        4.98761        
59.6           0.29423        4.98785        
59.8           0.28834        4.98810        
60.0           0.28257        4.98834        
60.2           0.27692        4.98857        
60.4           0.27538        4.98880        
60.6           0.27788        4.98902        
60.8           0.28432        4.98924        
61.0           0.29463        4.98946        
61.2           0.30874        4.98967        
61.4           0.32257        4.98987        
61.6           0.33611        4.99008        
61.8           0.34939        4.99027        
62.0           0.36240        4.99047        
62.2           0.37516        4.99066        
62.4           0.38765        4.99085        
62.6           0.39990        4.99103        
62.8           0.41190        4.99121        
63.0           0.42366        4.99138        
63.2           0.43519        4.99156        
63.4           0.44649        4.99173        
63.6           0.45756        4.99189        
63.8           0.46841        4.99205        
64.0           0.47904        4.99221        
64.2           0.48946        4.99237        
64.4           0.49967        4.99252        
64.6           0.50967        4.99267        
64.8           0.51948        4.99282        
65.0           0.52909        4.99296        
65.2           0.53851        4.99310        
65.4           0.54774        4.99324        
65.6           0.55678        4.99337        
65.8           0.56565        4.99351        
66.0           0.57434        4.99364        
66.2           0.58285        4.99376        
66.4           0.59119        4.99389        
66.6           0.59937        4.99401        
66.8           0.60738        4.99413        
67.0           0.61523        4.99425        
67.2           0.62293        4.99436        
67.4           0.63047        4.99448        
67.6           0.63786        4.99459        
67.8           0.64510        4.99469        
68.0           0.65220        4.99480        
68.2           0.65916        4.99490        
68.4           0.66597        4.99501        
68.6           0.67265        4.99511        
68.8           0.67920        4.99520        
69.0           0.68562        4.99530        
69.2           0.69191        4.99539        
69.4           0.69807        4.99549        
69.6           0.70411        4.99558        
69.8           0.71002        4.99566        
70.0           0.71582        4.99575        
70.2           0.72151        4.99583        
70.4           0.72308        4.99592        
70.6           0.72062        4.99600        
70.8           0.71420        4.99608        
71.0           0.70392        4.99616        
71.2           0.68984        4.99623        
71.4           0.67604        4.99631        
71.6           0.66252        4.99638        
71.8           0.64927        4.99645        
72.0           0.63629        4.99652        
72.2           0.62356        4.99659        
72.4           0.61109        4.99666        
72.6           0.59887        4.99673        
72.8           0.58689        4.99679        
73.0           0.57515        4.99686        
73.2           0.56365        4.99692        
73.4           0.55238        4.99698        
73.6           0.54133        4.99704        
73.8           0.53050        4.99710        
74.0           0.51989        4.99716        
74.2           0.50949        4.99722        
74.4           0.49930        4.99727        
74.6           0.48932        4.99733        
74.8           0.47953        4.99738        
75.0           0.46994        4.99743        
75.2           0.46054        4.99748        
75.4           0.45133        4.99753        
75.6           0.44231        4.99758        
75.8           0.43346        4.99763        
76.0           0.42479        4.99768        
76.2           0.41629        4.99773        
76.4           0.40797        4.99777        
76.6           0.39981        4.99782        
76.8           0.39181        4.99786        
77.0           0.38398        4.99790        
77.2           0.37630        4.99794        
77.4           0.36877        4.99799        
77.6           0.36140        4.99803        
77.8           0.35417        4.99807        
78.0           0.34708        4.99810        
78.2           0.34014        4.99814        
78.4           0.33334        4.99818        
78.6           0.32667        4.99822        
78.8           0.32014        4.99825        
79.0           0.31374        4.99829        
79.2           0.30746        4.99832        
79.4           0.30131        4.99835        
79.6           0.29529        4.99839        
79.8           0.28938        4.99842        
80.0           0.28359        4.99845        
80.2           0.27792        4.99848        
80.4           0.27636        4.99851        
80.6           0.27884        4.99854        
80.8           0.28526        4.99857        
81.0           0.29555        4.99860        
81.2           0.30964        4.99863        
81.4           0.32345        4.99866        
81.6           0.33698        4.99868        
81.8           0.35024        4.99871        
82.0           0.36324        4.99873        
82.2           0.37597        4.99876        
82.4           0.38845        4.99878        
82.6           0.40068        4.99881        
82.8           0.41267        4.99883        
83.0           0.42442        4.99886        
83.2           0.43593        4.99888        
83.4           0.44721        4.99890        
83.6           0.45827        4.99892        
83.8           0.46910        4.99894        
84.0           0.47972        4.99897        
84.2           0.49012        4.99899        
84.4           0.50032        4.99901        
84.6           0.51031        4.99903        
84.8           0.52011        4.99905        
85.0           0.52971        4.99907        
85.2           0.53911        4.99908        
85.4           0.54833        4.99910        
85.6           0.55736        4.99912        
85.8           0.56622        4.99914        
86.0           0.57489        4.99915        
86.2           0.58339        4.99917        
86.4           0.59173        4.99919        
86.6           0.59989        4.99920        
86.8           0.60789        4.99922        
87.0           0.61574        4.99924        
87.2           0.62342        4.99925        
87.4           0.63095        4.99927        
87.6           0.63833        4.99928        
87.8           0.64557        4.99930        
88.0           0.65266        4.99931        
88.2           0.65960        4.99932        
88.4           0.66641        4.99934        
88.6           0.67308        4.99935        
88.8           0.67962        4.99936        
89.0           0.68603        4.99937        
89.2           0.69231        4.99939        
89.4           0.69846        4.99940        
89.6           0.70449        4.99941        
89.8           0.71040        4.99942        
90.0           0.71619        4.99943        
90.2           0.72187        4.99944        
90.4           0.72343        4.99945        
90.6           0.72096        4.99947        
90.8           0.71455        4.99948        
91.0           0.70425        4.99949        
91.2           0.69017        4.99950        
91.4           0.67637        4.99951        
91.6           0.66284        4.99952        
91.8           0.64958        4.99952        
92.0           0.63659        4.99953        
92.2           0.62386        4.99954        
92.4           0.61138        4.99955        
92.6           0.59915        4.99956        
92.8           0.58717        4.99957        
93.0           0.57543        4.99958        
93.2           0.56392        4.99959        
93.4           0.55264        4.99960        
93.6           0.54159        4.99960        
93.8           0.53076        4.99961        
94.0           0.52014        4.99962        
94.2           0.50974        4.99963        
94.4           0.49954        4.99963        
94.6           0.48955        4.99964        
94.8           0.47976        4.99965        
95.0           0.47017        4.99966        
95.2           0.46076        4.99966        
95.4           0.45155        4.99967        
95.6           0.44252        4.99968        
95.8           0.43367        4.99968        
96.0           0.42499        4.99969        
96.2           0.41649        4.99969        
96.4           0.40816        4.99970        
96.6           0.40000        4.99971        
96.8           0.39200        4.99971        
97.0           0.38416        4.99972        
97.2           0.37648        4.99972        
97.4           0.36895        4.99973        
97.6           0.36157        4.99974        
97.8           0.35434        4.99974        
98.0           0.34725        4.99975        
98.2           0.34030        4.99975        
98.4           0.33350        4.99976        
98.6           0.32683        4.99976        
98.8           0.32029        4.99977        
99.0           0.31389        4.99977        
99.2           0.30761        4.99977        
99.4           0.30146        4.99978        
99.6           0.29543        4.99978        
99.8           0.28952        4.99979        
100.0          0.28373        4.99979        

RK4_RC      deltaT = 1.000000
Time           V1             V2             
0.0            0.00000        0.00000        
1.0            0.05000        0.47581        
2.0            0.14500        0.90635        
3.0            0.23050        1.29591        
4.0            0.30745        1.64840        
5.0            0.37671        1.96735        
6.0            0.43903        2.25594        
7.0            0.49513        2.51707        
8.0            0.54562        2.75335        
9.0            0.59106        2.96715        
10.0           0.63195        3.16060        
11.0           0.61876        3.33564        
12.0           0.55688        3.49403        
13.0           0.50119        3.63734        
14.0           0.45107        3.76701        
15.0           0.40597        3.88435        
16.0           0.36537        3.99052        
17.0           0.32883        4.08658        
18.0           0.29595        4.17350        
19.0           0.26635        4.25216        
20.0           0.23972        4.32332        
