forwardEulerRC      deltaT = 1.000000 ns
Time           V1             V2             
16.0           0.21438        0.15428        
16.2           0.20889        0.15240        
16.4           0.20358        0.15048        
16.6           0.19845        0.14853        
16.8           0.19348        0.14656        
17.0           0.18867        0.14457        
17.2           0.18402        0.14256        
17.4           0.17951        0.14053        
17.6           0.17514        0.13850        
17.8           0.17090        0.13647        
18.0           0.16679        0.13443        
18.2           0.16281        0.13238        
18.4           0.15895        0.13035        
18.6           0.15520        0.12831        
18.8           0.15155        0.12628        
19.0           0.14802        0.12426        
19.2           0.14458        0.12225        
19.4           0.14124        0.12025        
19.6           0.13800        0.11827        
19.8           0.13484        0.11630        
20.0           0.13178        0.11434        
20.2           0.12879        0.11240        
20.4           0.12789        0.11048        
20.6           0.13098        0.10862        
20.8           0.13792        0.10690        
21.0           0.14854        0.10538        
21.2           0.16270        0.10413        
21.4           0.17828        0.10322        
21.6           0.19321        0.10266        
21.8           0.20754        0.10242        
22.0           0.22128        0.10247        
22.2           0.23448        0.10280        
22.4           0.24716        0.10338        
22.6           0.25934        0.10418        
22.8           0.27105        0.10520        
23.0           0.28231        0.10642        
23.2           0.29315        0.10781        
23.4           0.30358        0.10936        
23.6           0.31362        0.11105        
23.8           0.32330        0.11288        
24.0           0.33262        0.11484        
24.2           0.34162        0.11689        
24.4           0.35029        0.11905        
24.6           0.35866        0.12129        
24.8           0.36674        0.12362        
25.0           0.37454        0.12601        
25.2           0.38208        0.12846        
25.4           0.38936        0.13096        
25.6           0.39641        0.13351        
25.8           0.40322        0.13610        
26.0           0.40982        0.13872        
26.2           0.41620        0.14136        
26.4           0.42238        0.14403        
26.6           0.42836        0.14672        
26.8           0.43416        0.14942        
27.0           0.43978        0.15213        
27.2           0.44524        0.15484        
27.4           0.45052        0.15755        
27.6           0.45565        0.16026        
27.8           0.46063        0.16296        
28.0           0.46547        0.16565        
28.2           0.47016        0.16834        
28.4           0.47472        0.17101        
28.6           0.47915        0.17366        
28.8           0.48346        0.17630        
29.0           0.48765        0.17891        
29.2           0.49172        0.18151        
29.4           0.49568        0.18408        
29.6           0.49953        0.18663        
29.8           0.50329        0.18916        
30.0           0.50694        0.19166        
30.2           0.51049        0.19413        
30.4           0.51196        0.19658        
30.6           0.50941        0.19895        
30.8           0.50301        0.20118        
31.0           0.49292        0.20320        
31.2           0.47926        0.20493        
31.4           0.46419        0.20631        
31.6           0.44975        0.20735        
31.8           0.43591        0.20805        
32.0           0.42263        0.20844        
32.2           0.40989        0.20856        
32.4           0.39767        0.20841        
32.6           0.38593        0.20803        
32.8           0.37465        0.20743        
33.0           0.36382        0.20662        
33.2           0.35340        0.20563        
33.4           0.34337        0.20448        
33.6           0.33373        0.20317        
33.8           0.32444        0.20171        
34.0           0.31550        0.20013        
34.2           0.30688        0.19844        
34.4           0.29858        0.19664        
34.6           0.29057        0.19474        
34.8           0.28284        0.19277        
35.0           0.27538        0.19071        
35.2           0.26818        0.18859        
35.4           0.26122        0.18641        
35.6           0.25450        0.18418        
35.8           0.24801        0.18190        
36.0           0.24172        0.17959        
36.2           0.23565        0.17724        
36.4           0.22977        0.17486        
36.6           0.22407        0.17246        
36.8           0.21856        0.17004        
37.0           0.21322        0.16761        
37.2           0.20804        0.16517        
37.4           0.20302        0.16273        
37.6           0.19816        0.16028        
37.8           0.19344        0.15783        
38.0           0.18885        0.15539        
38.2           0.18441        0.15295        
38.4           0.18009        0.15052        
38.6           0.17590        0.14810        
38.8           0.17182        0.14569        
39.0           0.16786        0.14330        
39.2           0.16402        0.14093        
