-0,1.49136
1,0.478566
2,-0.522734
3,-1.52286
4,-2.52288
5,-3.5229
6,-4.53154
7,-5.81963
8,-4.6732
9,-4.6732
10,-2.56071
11,-1.01191
12,-0.574298
13,-0.574298
14,1.56403
-0,1.49136
1,0.478567
2,-0.522841
3,-1.51005
4,-2.27241
5,-1.285
6,-0.0889387
7,0.940612
8,1.44397
9,2.77815
10,2.77815
11,2.77815
12,2.77815
13,2.77815
14,2.77815
-0,0
1,-2
2,-4
3,-6.00014
4,-8.06807
5,-7.43267
6,-6.21799
7,-5.42152
8,-4.6732
9,-4.6732
10,-2.56071
11,-1.01191
12,-0.574298
13,-0.574298
14,1.56403
-0,0
1,-1.99982
2,-4.0206
3,-3.41854
4,-2.27241
5,-1.285
6,-0.0889387
7,0.940612
8,1.44397
9,2.77815
10,2.77815
11,2.77815
12,2.77815
13,2.77815
14,2.77815
